attribute,pearson_r,R2,mae,rmse,split_half_r,split_half_R2,R2_frac_of_ceiling
gender,0.9765265,0.95314145,4.885903,6.398969,0.9833425362582442,0.9669625436147964,0.9857066918402764
age,0.97133553,0.94264877,2.7361495,3.5947251,0.99172468261375,0.9835178461053434,0.9584460248818241
long-haired,0.9583442,0.9179114,4.9558563,6.3919606,0.9782989639651212,0.9570688628952294,0.9590860549190012
cute,0.9457369,0.89424795,4.839291,6.1630177,0.9310534050894924,0.8668604431287382,1.0315939054415872
happy,0.93962616,0.8818962,5.133794,6.529921,0.9680635330215066,0.9371470039660816,0.9410436103063279
electable,0.9295671,0.8640495,5.674291,7.3686433,0.9348474755432078,0.8739398025295084,0.9886830849208582
black,0.93003166,0.8575996,4.399973,7.078275,0.9652430035447336,0.9316940558920588,0.9204734049514608
outdoors,0.92449564,0.8545635,8.929571,11.688104,0.972071254052915,0.9449225229560068,0.9043741462809712
skin-color,0.9255884,0.85300994,4.6017017,6.2216697,0.9589045608460648,0.9194979568113848,0.9276909575286599
hair-color,0.9224721,0.8489209,7.682059,9.766378,0.9810682939903104,0.9624949974730578,0.882000324395206
trustworthy,0.9199047,0.8461225,3.7695746,4.853214,0.9322993116441324,0.8691820064921228,0.9734698759064431
white,0.91736937,0.84093314,9.119489,12.248545,0.974001911571843,0.9486797237456044,0.8864247005088332
dominant,0.9159281,0.8386636,4.8514185,6.0773644,0.8898662032636768,0.7918618597109114,1.0591034152171122
outgoing,0.91586745,0.83850765,4.480827,5.605673,0.9049691997192224,0.8189692524404498,1.0238573029467561
asian,0.9076987,0.8230663,8.29682,11.91416,0.9755248469313254,0.9516487269803858,0.8648845699732272
islander,0.8831082,0.7793962,7.6129456,10.159091,0.941884974121363,0.8871473044756005,0.8785420370078304
middle-eastern,0.8765426,0.76697433,7.934911,10.080808,0.9358751998954709,0.8758623897793874,0.8756790324027796
well-groomed,0.8728287,0.7612418,4.9823313,6.498813,0.8800923254385971,0.7745625012959174,0.9828022899719123
native,0.8538823,0.7283236,7.5534205,9.971109,0.9299801089722732,0.8648630030840812,0.8421259753311393
attractive,0.8452201,0.7130304,5.3658915,6.69138,0.8550936145156988,0.7311850895855225,0.9751708700791291
smug,0.8383039,0.70175815,5.923808,7.5315313,0.8240190575721351,0.6790074072420696,1.0335058830217143
hispanic,0.83423316,0.69562197,8.966301,11.684841,0.9320394172552224,0.8686974753174544,0.8007643509563486
liberal,0.8322778,0.6918088,5.0294814,6.461921,0.8163108231724668,0.6663633600285104,1.0381855328456249
gay,0.82770544,0.68346184,6.0289135,7.717304,0.8533716930113334,0.7282432464330294,0.9385076255051167
smart,0.81194913,0.65786445,4.5517435,5.7991076,0.799664645796188,0.6394635457363429,1.0287755328452202
privileged,0.79727745,0.6340047,5.2791257,6.660083,0.8227299317269436,0.6768845405594213,0.9366511746242829
dorky,0.79497576,0.62989414,6.451128,8.283912,0.8468795539554318,0.717204978907751,0.8782623636540855
weight,0.7923765,0.6254715,5.625716,7.0086017,0.9111070471269082,0.8301160513243141,0.7534747689821956
alert,0.76237845,0.5802613,4.766222,6.1926703,0.7578545734227873,0.5743435544578349,1.0103034943044695
godly,0.7596234,0.5745647,4.5877614,5.8050766,0.6965437716551164,0.4851732258315349,1.1842465111615708
typical,0.684449,0.45914054,5.230714,6.750935,0.729704294527602,0.5324683574520254,0.8622869952255668
familiar,0.6534867,0.41359812,4.8697367,6.112137,0.5260810018013711,0.2767612204563342,1.4944222290899136
memorable,0.6434268,0.40534508,5.2305527,6.625403,0.6658014302787658,0.4432915445612502,0.914398402074626
looks-like-you,0.63447964,0.3922487,4.036764,5.0565557,0.4420863721310151,0.1954403604239624,2.0069994710872807
