attribute,pearson_r,R2,split_half_r,split_half_R2,R2_frac_of_ceiling
age,0.976846,0.95418227,0.99172468261375,0.9835178461053434,0.9701728075179215
gender,0.96979266,0.9402826,0.9833425362582442,0.9669625436147964,0.9724085035237675
long-haired,0.9606174,0.921396,0.9782989639651212,0.9570688628952294,0.9627269632539132
outdoors,0.94835615,0.8970022,0.972071254052915,0.9449225229560068,0.9492865057273718
cute,0.94724846,0.8964063,0.9310534050894924,0.8668604431287382,1.0340837525872362
hair-color,0.94525164,0.89302266,0.9810682939903104,0.9624949974730578,0.9278205729323777
electable,0.94612086,0.8924718,0.9348474755432078,0.8739398025295084,1.0212051189531053
happy,0.94962454,0.88814247,0.9680635330215066,0.9371470039660816,0.9477088079472159
trustworthy,0.9319825,0.8648151,0.9322993116441324,0.8691820064921228,0.9949758434257665
black,0.9316132,0.8562019,0.9652430035447336,0.9316940558920588,0.9189732343845661
outgoing,0.9220011,0.84099627,0.9049691997192224,0.8189692524404498,1.0268960250875252
dominant,0.9112239,0.829641,0.8898662032636768,0.7918618597109114,1.047709256135762
asian,0.9171131,0.8252733,0.9755248469313254,0.9516487269803858,0.867203703007748
white,0.91187894,0.8246566,0.974001911571843,0.9486797237456044,0.8692676562581808
skin-color,0.9167955,0.8236475,0.9589045608460648,0.9194979568113848,0.8957578360002311
hispanic,0.89660406,0.80222446,0.9320394172552224,0.8686974753174544,0.9234796724910905
middle-eastern,0.897807,0.7965459,0.9358751998954709,0.8758623897793874,0.9094418361777521
islander,0.8974472,0.7934757,0.941884974121363,0.8871473044756005,0.8944125693635844
well-groomed,0.8898673,0.78182334,0.8800923254385971,0.7745625012959174,1.009374115958279
attractive,0.8793659,0.7719208,0.8550936145156988,0.7311850895855225,1.0557118997565564
dorky,0.8671488,0.75163925,0.8468795539554318,0.717204978907751,1.048011756896459
native,0.8516115,0.7206905,0.9299801089722732,0.8648630030840812,0.8333001844570003
smug,0.8469553,0.7051477,0.8240190575721351,0.6790074072420696,1.0384978020550684
smart,0.8415029,0.70171374,0.799664645796188,0.6394635457363429,1.0973475261861503
gay,0.8263549,0.67740124,0.8533716930113334,0.7282432464330294,0.9301854062058852
godly,0.7971231,0.6348864,0.6965437716551164,0.4851732258315349,1.3085767437225597
liberal,0.79433167,0.61046743,0.8163108231724668,0.6663633600285104,0.9161179419797049
privileged,0.7809536,0.60457176,0.8227299317269436,0.6768845405594213,0.8931682196499018
weight,0.73086566,0.52472246,0.9111070471269082,0.8301160513243141,0.6321073531380237
memorable,0.6778693,0.4556769,0.6658014302787658,0.4432915445612502,1.027939525557629
familiar,0.6494052,0.4167447,0.5260810018013711,0.2767612204563342,1.5057915242347024
typical,0.6732016,0.40743113,0.729704294527602,0.5324683574520254,0.7651743512978777
alert,0.6398028,0.39206445,0.7578545734227873,0.5743435544578349,0.6826305387375653
looks-like-you,0.6257324,0.38572985,0.4420863721310151,0.1954403604239624,1.973644794571852
