attribute,split_half_R2,split_half_r,n_iters
age,0.9835178461053434,0.9917246826137501,100
alert,0.5743435544578349,0.7578545734227873,100
asian,0.9516487269803858,0.9755248469313254,100
attractive,0.7311850895855225,0.8550936145156988,100
black,0.9316940558920588,0.9652430035447337,100
cute,0.8668604431287382,0.9310534050894923,100
dominant,0.7918618597109114,0.8898662032636768,100
dorky,0.717204978907751,0.8468795539554318,100
electable,0.8739398025295084,0.9348474755432078,100
familiar,0.2767612204563342,0.5260810018013711,100
gay,0.7282432464330294,0.8533716930113334,100
gender,0.9669625436147963,0.9833425362582442,100
godly,0.4851732258315349,0.6965437716551164,100
hair-color,0.9624949974730578,0.9810682939903103,100
happy,0.9371470039660816,0.9680635330215066,100
hispanic,0.8686974753174544,0.9320394172552223,100
islander,0.8871473044756005,0.941884974121363,100
liberal,0.6663633600285104,0.8163108231724668,100
long-haired,0.9570688628952294,0.9782989639651212,100
looks-like-you,0.1954403604239624,0.44208637213101515,100
memorable,0.44329154456125025,0.6658014302787658,100
middle-eastern,0.8758623897793874,0.9358751998954707,100
native,0.8648630030840812,0.9299801089722732,100
outdoors,0.9449225229560068,0.972071254052915,100
outgoing,0.8189692524404498,0.9049691997192224,100
privileged,0.6768845405594213,0.8227299317269436,100
skin-color,0.9194979568113847,0.9589045608460649,100
smart,0.6394635457363429,0.799664645796188,100
smug,0.6790074072420696,0.8240190575721351,100
trustworthy,0.8691820064921228,0.9322993116441323,100
typical,0.5324683574520254,0.729704294527602,100
weight,0.8301160513243141,0.9111070471269082,100
well-groomed,0.7745625012959174,0.8800923254385971,100
white,0.9486797237456043,0.974001911571843,100
